track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
The Time (Dirty Bit),Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",72,0.816,0.813,6,-7.798,0,0.0664,0.0662,2.77e-06,0.602,0.436,127.979,7vWFaMq63AwkFDhS2OAg5u,307640,4
I Kissed A Girl,Katy Perry,"['dance pop', 'pop', 'post-teen pop']",72,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,1pXrR5Y9OgcIV2JEAl2lCB,179640,4
I Gotta Feeling,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",83,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96,4kLLWz7srcuLKA7Et40PQR,289133,4
STARSTRUKK (feat. Katy Perry),3OH!3,"['dance pop', 'electropowerpop', 'modern rock', 'pop punk', 'pop rap', 'post-teen pop']",67,0.607,0.805,11,-5.579,0,0.0608,0.00175,0.0,0.231,0.232,139.894,1hBM2D1ULT3aeKuddSwPsK,202667,4
My First Kiss (feat. Ke$ha),3OH!3,"['dance pop', 'electropowerpop', 'modern rock', 'pop punk', 'pop rap', 'post-teen pop']",66,0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.827,138.021,17tDv8WA8IhqE8qzuQn707,192440,4
Who's That Chick? (feat. Rihanna),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",54,0.675,0.602,11,-4.733,0,0.116,0.00377,0.0,0.0458,0.933,127.938,3wGnGk9AtI0HFunOexdOIT,201040,4
Titanium (feat. Sia),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",81,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,0TDLuuLlV54CkRRUOahJb4,245040,4
Turn Me On (feat. Nicki Minaj),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",68,0.704,0.793,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.412,127.96,6T27IN7Ai94BeDv6PPCmoC,199680,4
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",75,0.666,0.876,3,-3.078,1,0.0414,0.055,0.0,0.259,0.552,129.884,7ks6AZmFcm3Y6PGGxGSmlB,194840,4
Telephone,Lady Gaga,"['art pop', 'dance pop', 'pop']",60,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,6DvgsZ0NiEPV9qYM931T1F,220627,4
Cry for You,September,"['dance pop', 'electropop', 'eurodance', 'europop', 'swedish electropop', 'swedish pop']",67,0.767,0.881,9,-3.988,1,0.0301,0.00133,0.000139,0.0551,0.961,130.018,1mvZErZBp7WZT3HfGBykao,209800,4
Like You (feat. Ciara),Bow Wow,"['dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",24,0.6,0.597,6,-8.8,1,0.162,0.12,0.0,0.0772,0.476,81.752,5YQiFmCOI90zwMRcRpMEBt,204693,4
Promiscuous,Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']",85,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,2gam98EZKrF9XuOkU13ApN,242293,4
The Way I Are,Timbaland,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']",79,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,2bLqfJjuC5syrsgDsZfGmn,179120,4
SexyBack (feat. Timbaland),Justin Timberlake,"['dance pop', 'pop']",80,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,0O45fw2L5vsWpdsOdXwNAR,242733,4
Cry Me a River,Justin Timberlake,"['dance pop', 'pop']",0,0.582,0.654,8,-6.61,0,0.322,0.543,0.0,0.105,0.593,73.853,3RRFywqWaZYOj87A4fLQrq,288333,4
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,"['dance pop', 'pop']",0,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.573,0.432,76.0,76D83dghHeE2NFedPFD4tf,448573,4
Take It Off,Kesha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",71,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,0WCiI0ddWiu5F2kSHgfw5S,215200,4
Your Love Is My Drug,Kesha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",72,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,6vc2Jq2vaGu8z326kSrw92,187133,4
TiK ToK,Kesha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",83,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,0HPD5WQqrq7wPWR7P7Dw1i,199693,4
We R Who We R,Kesha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",74,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,3LUWWox8YYykohBbHUrrxd,204760,4
Blah Blah Blah (feat. 3OH!3),Kesha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",64,0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,7lWUJpax919G4JdaFEVmCy,172053,4
Judas,Lady Gaga,"['art pop', 'dance pop', 'pop']",70,0.664,0.934,10,-3.848,0,0.0697,0.00108,2.77e-05,0.27,0.53,130.982,7F25roCtYi55JouckaayPC,249067,4
Alejandro,Lady Gaga,"['art pop', 'dance pop', 'pop']",69,0.623,0.793,11,-6.63,0,0.0462,0.000397,0.0015,0.375,0.36,98.998,1HHeOs6zRdF8Ck58easiAY,274213,4
Umbrella,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",84,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,49FYlytm3dAAraYgpoJZux,275987,4
Don't Stop The Music,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",80,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,0ByMNEPAPpOR5H69DVrTNy,267080,4
...Baby One More Time,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",80,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,3MjUtNVVq3C8Fn0MP3zhXa,211067,4
Jenny from the Block - Track Masters Remix featuring Styles P. & Jadakiss,Jennifer Lopez,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",45,0.847,0.754,6,-5.444,1,0.193,0.00804,4.49e-06,0.0517,0.957,100.0,45BWoAVKPweZTPWzzFetSD,189893,4
Raise Your Glass,P!nk,"['dance pop', 'pop']",79,0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,1gv4xPanImH17bKZ9rOveR,202960,4
So What,P!nk,"['dance pop', 'pop']",79,0.534,0.87,11,-3.078,0,0.0425,0.000334,0.0,0.241,0.462,126.019,0JiY190vktuhSGN6aqJdrt,215160,4
Bad Romance,Lady Gaga,"['art pop', 'dance pop', 'pop']",83,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,0SiywuOBRcynK0uKGWdCnn,294573,4
Born This Way,Lady Gaga,"['art pop', 'dance pop', 'pop']",70,0.587,0.828,11,-5.108,1,0.161,0.00327,0.0,0.331,0.494,123.907,6r2BECwMgEoRb5yLfp0Hca,260253,4
Judas,Lady Gaga,"['art pop', 'dance pop', 'pop']",52,0.664,0.934,10,-3.848,0,0.0697,0.00108,2.77e-05,0.27,0.53,130.982,7rr5DQM980mOF1UtIC4q6v,249067,4
Don't Stop The Music,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",80,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,0ByMNEPAPpOR5H69DVrTNy,267080,4
The Ballad of Mona Lisa,Panic! At The Disco,['modern rock'],69,0.436,0.893,9,-4.18,0,0.0556,0.000362,0.0,0.103,0.0794,124.113,5rLi8B8qgk6qThwRnKHW2P,226680,4
Rise Up - Radio Edit,Yves Larock,[],64,0.655,0.798,2,-7.137,1,0.131,0.000658,0.0,0.335,0.855,128.103,2YdX7PEziOImkySNDWsaKM,170760,4
Dynamite,Taio Cruz,"['dance pop', 'edm', 'pop', 'pop rap']",83,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,2CEgGE6aESpnmtfiZwYlbV,202613,4
Hey Ya!,Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",83,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,2PpruBYCo4H7WOBJ7Q2EwM,235213,4
Scream & Shout,will.i.am,"['dance pop', 'pop', 'pop rap']",0,0.79,0.616,0,-7.443,1,0.0596,0.0589,6.55e-05,0.171,0.473,130.009,7n6ibfsRHhCb1Ccl9Fg2CZ,284413,4
Hold It Against Me,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",61,0.648,0.722,0,-4.813,0,0.0427,0.0103,0.0,0.24,0.389,132.973,7Dyq1bhhjknLKEGg4k5NLr,228827,4
Till the World Ends,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",68,0.693,0.705,8,-5.747,1,0.0665,0.0228,0.0,0.202,0.45,131.951,38iU2jg98IZZEIJPrP7aWD,237947,4
I Wanna Go,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",68,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,5cCAZS9VhLGEDV4NCfieeg,210267,4
Toxic,Britney Spears,"['dance pop', 'pop', 'post-teen pop']",85,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,6I9VzXrHxO9rA9A5euc8Ak,198800,4
