track_name,artist_name,artist_genre,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
Sk8er Boi,Avril Lavigne,"['canadian_pop', 'candy_pop', 'dance_pop', 'pop', 'post-teen_pop']",79,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,00Mb3DuaIH1kjrwOku9CGU
Girlfriend,Avril Lavigne,"['canadian_pop', 'candy_pop', 'dance_pop', 'pop', 'post-teen_pop']",78,0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,45hOioMDJktr86iKDHC8gr
Smile,Avril Lavigne,"['canadian_pop', 'candy_pop', 'dance_pop', 'pop', 'post-teen_pop']",66,0.634,0.848,1,-3.843,0,0.047,0.00237,0.0,0.0681,0.647,105.055,4bia7OWZPoswlzXCqESYrR
What the Hell,Avril Lavigne,"['canadian_pop', 'candy_pop', 'dance_pop', 'pop', 'post-teen_pop']",77,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,2z4U9d5OAA4YLNXoCgioxo
S&M,Rihanna,"['barbadian_pop', 'dance_pop', 'pop', 'pop_rap', 'urban_contemporary']",79,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,7ySUcLPVX7KudhnmNcgY2D
Just Dance,Lady Gaga,"['art_pop', 'dance_pop', 'pop']",79,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,1dzQoRqT5ucxXVaAhTcT0J
Break Your Heart,Taio Cruz,"['dance_pop', 'edm', 'pop', 'pop_rap']",77,0.607,0.934,3,-4.217,1,0.0314,0.0327,0.0,0.0909,0.568,122.01,7ElF5zxOwYP4qVSWVvse3W
Wild Ones (feat. Sia),Flo Rida,"['dance_pop', 'miami_hip_hop', 'pop', 'pop_rap']",79,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,1NpW5kyvO4XrNJ3rnfcNy3
Boom Boom Pow,Black Eyed Peas,"['dance_pop', 'pop', 'pop_rap']",72,0.867,0.857,9,-5.892,1,0.0663,0.13,0.00171,0.13,0.402,130.048,3oDFtOhcN08qeDPAK6MEQG
On The Floor - Radio Edit,Jennifer Lopez,"['dance_pop', 'pop', 'pop_rap', 'urban_contemporary']",72,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00127,0.142,0.444,130.007,0Oe49j06Bjrxs8PltuVeaW
Rock N Roll,Avril Lavigne,"['canadian_pop', 'candy_pop', 'dance_pop', 'pop', 'post-teen_pop']",62,0.465,0.956,0,-3.34,0,0.128,0.00963,0.000101,0.335,0.665,184.126,471JGLzHPrgM4lS9mNOEIt
Party Rock Anthem,LMFAO,"['dance_pop', 'pop_rap']",75,0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,7mitXLIMCflkhZiD34uEQI
Sexy And I Know It,LMFAO,"['dance_pop', 'pop_rap']",70,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,70Vdd1gx5tn84jkAU31ASv
Silhouettes - Original Radio Edit,Avicii,"['dance_pop', 'edm', 'pop', 'pop_dance']",66,0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,06h3McKzmxS8Bx58USHiMq
Hung Up,Madonna,"['dance_pop', 'pop']",77,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,3850dYVgOFIXJh5U4BFEWH
Kiss Me Thru The Phone,Soulja Boy,"['atl_hip_hop', 'chicago_bop', 'dance_pop', 'dirty_south_rap', 'pop_rap', 'rap', 'southern_hip_hop', 'trap', 'viral_rap']",79,0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998,2q4rjDy9WhaN3o9MvDbO21
Radar,Britney Spears,"['dance_pop', 'pop', 'post-teen_pop']",51,0.648,0.664,4,-6.617,0,0.164,0.25,1.18e-06,0.33,0.484,127.917,0awvRwer2ByXjyDSON60Q3
Like A G6,Far East Movement,"['asian_american_hip_hop', 'dance_pop', 'edm', 'pop_rap']",76,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,5AyL2kgLtTWEu3qO3B9SqK
Die Young,Kesha,"['dance_pop', 'electropop', 'pop', 'post-teen_pop']",81,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,7EQGXaVSyEDsCWKmUcfpLk
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,"['dance_pop', 'latin', 'miami_hip_hop', 'pop', 'pop_rap']",83,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,4QNpBfC0zvjKqPJcyqBy9W
Poker Face,Lady Gaga,"['art_pop', 'dance_pop', 'pop']",80,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,1QV6tiMFM6fSOKOGLMHYYg
Miss Independent,Ne-Yo,"['dance_pop', 'pop', 'r&b', 'urban_contemporary']",74,0.668,0.673,1,-5.714,1,0.145,0.48,0.0,0.194,0.727,171.812,1yJ5fyqBusR7Verj8JGsKV
Time of Our Lives,Pitbull,"['dance_pop', 'latin', 'miami_hip_hop', 'pop', 'pop_rap']",83,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,2bJvI42r8EF3wxjOuDav4r
Beautiful,Snoop Dogg,"['g_funk', 'gangster_rap', 'hip_hop', 'pop_rap', 'rap', 'west_coast_rap']",68,0.893,0.74,11,-4.936,0,0.132,0.299,0.0,0.0881,0.963,101.025,4675yUu8AUbE72T94BkLCD
No Air (feat. Chris Brown),Jordin Sparks,"['dance_pop', 'neo_mellow', 'pop', 'pop_rock', 'post-teen_pop', 'r&b', 'urban_contemporary']",73,0.466,0.759,8,-4.978,0,0.199,0.0521,0.0,0.0587,0.328,160.033,1jUA4rb6ZCv4gby4YU53xq
Forever,Chris Brown,"['dance_pop', 'pop', 'pop_rap', 'r&b', 'rap']",77,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,3NZJlJemX3mzjf56MqC5ML
With You,Chris Brown,"['dance_pop', 'pop', 'pop_rap', 'r&b', 'rap']",73,0.662,0.693,3,-4.298,1,0.0698,0.134,0.0,0.145,0.655,86.009,5Lgcn7u07bHuqbOtXkN62u
So Sick,Ne-Yo,"['dance_pop', 'pop', 'r&b', 'urban_contemporary']",79,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,6brl7bwOHmGFkNw3MBqssT
Don't Lie,Black Eyed Peas,"['dance_pop', 'pop', 'pop_rap']",64,0.662,0.785,9,-5.299,1,0.186,0.16,0.0,0.0784,0.604,89.885,6tp27J7xy18DQiQXut3GsF
Hips Don't Lie (feat. Wyclef Jean),Shakira,"['colombian_pop', 'dance_pop', 'latin', 'latin_pop', 'pop']",85,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V
